Question,Answer
Which is the brightest planet in the solar system?,Venus
A football team consists of how many members?,11
What is the young one of a cow called?,Calf
Which is the largest ocean in the world?,Pacific Ocean
The branch of science that deals with earthquakes is called ___________,Seismology
“Wings of Fire” is the autobiography of ______________,Dr. APJ Abdul Kalam
Which is the national bird of the USA?,Bald Eagle
The smallest bone in the human body is __________,Stapes (located in the ear)
Which is the deepest oceanic trench in the world?,Mariana Trench
Name a country without an official capital?,Nauru
Name the capital of Romania?,Bucharest
Which is the largest plateau in the world?,Tibetan Plateau
Young one of a horse is called?,Foal
How many bones does an adult human body have?,206
"Who wrote the famous play, “Romeo and Juliet”?",William Shakespeare
Atacama Desert is located in which continent?,South America
Study of the universe is called?,Cosmology
Mt. Vesuvius is located in which country?,Italy
Who is known as the “Father of Indian Space Program”?,Vikram Sarabhai
Mt. Abu is located in?,India
What is the capital of Armenia?,Yerevan
"“B” in BRICS, an international organization, stands for?",Brazil
Where is Spratly Islands located?,South China Sea
Where is the headquarters of European Union located?,"Brussels, Belgium"
In which city is the world’s largest port located?,Shanghai
For which event did Neeraj Chopra win a gold medal at the 2020 Tokyo Olympics?,Javelin throw
In which year did India win the first Cricket World Cup?,1983
In which year was South Asian Association for Regional Cooperation (SAARC) established?,1985
Which country is known as the “land of the blue sky”?,Mongolia
Richter Scale is used to measure _________,Magnitude of earthquakes
Coco Islands are located in which sea?,Bay of Bengal
Who wrote the book “Midnight’s children”?,Salman Rushdie
Who was the first person to go to space?,Yuri Gagarin
Which is the deepest lake in the world?,Lake Baikal
Name the device that provides power to the connected devices of a computer during power outages?,Uninterrupted Power Supply (UPS)
What is the full form of URL?,Uniform Resource Locator
Who invented World Wide Web (www)?,Tim Berners-Lee
When did the Internet come into existence?,"January 1, 1983"
"Where is the headquarters of Kaspersky Lab, the popular cyber security and anti-virus provider, located?",Moscow
Name the planet in our solar system that is known as the “Red Planet”,Mars
Name the scientist who discovered gravity?,Sir Isaac Newton
Whose birthday is celebrated as “Engineer’s Day” in India?,Sir M Visvesaraya
Between which planets does the asteroid belt exist in our solar system?,Mars and Jupiter
Who invented dynamite?,Alfred Nobel
"Name the country Alfred Nobel, the famous inventor, was born in?",Sweden
Which is the longest bone in the human body?,Femur (thigh bone)
Who invented airplanes?,Wright brothers (Orville Wright and Wilbur Wright)
Which galaxy does solar system belong to?,Milky Way
What is the speed of light in vacuum?,"3,00,000 km/sec"
Which gas is commonly found in our universe?,Hydrogen
When is World Heritage Day celebrated?,Apr-18
Which is the smallest continent in the world?,Australia
Telephone was invented by ___________,Alexander Graham Bell
Who invented light bulb?,Thomas Alva Edison
Which is the national game of the USA?,Baseball
Which is the lightest gas?,Hydrogen
Branch of science that deals with scientific study of insects is known as _________,Entomology
Who invented the television?,John Logie Baird
Who was known as “Indian Napolean”?,Samudragupta
The total distance between the Sun and the Earth is ___________,149.6 Million km
Who formulated the theory of relativity?,Albert Einstein
Which mathematician is known as the “Prince of Indian Mathematics”?,Srinivasa Ramanujan
Sound cannot travel through _________,Vacuum
What is the full form of ROM?,Read-Only Memory
Name the smallest ocean in the world?,Arctic Ocean
Goitre is caused by the deficiency of?,Arctic Ocean
The term “LBW” is related to which sport?,Cricket
In which year did Christopher Columbus discover America?,1492
Which is the tallest mountain in the world?,Mount Everest
"The famous novel, Alice in Wonderland, was written by?",Lewis Carroll
"Name the ocean in which the famous ship, Titanic, had sunk?",North Atlantic Ocean
What is the scientific name of tomato?,Solanum lycopersicum
1024 kilobytes is equal to _.,1 Megabyte(MB)
Who is Paulo Coelho?,Brazilian Novelist
A figure with 6 sides is known as ________.,Hexagon
What do UPS stand for?,Uninterrupted Power Supply
At which temperature does water boil?,100◦C
Name the acid in lemon.,Citric acid
Which is the first animal to land on the moon?,"Laika, The dog"
Name the two Oceans in which Australia is sandwiched between?,The Indian Ocean and The Pacific Ocean
What do AM and PM stand for?,AM stands for Ante Meridiem and PM stands for Post Meridiem
Statue of Liberty is in _.,New York City
Name the five layers of Earth’s atmosphere.,"Exosphere, Thermosphere, Mesosphere, Stratosphere and Troposphere"
Name the border of India and Pakistan.,Radcliffe Line 
What is Ablutophobia?,It is the Fear of Bathing
What is the full form of  HTTP?,Hypertext Transfer Protocol
Identify the Tennis Player.,Roger Federer
Which is the coldest planet in our solar system?,Neptune
Which gas is known as “Laughing gas”?,Nitrous Oxide
Name the largest temple in the World.,Angkor Wat
Which of the following is not a component of chlorophyll?  a) Magnesium b)  Carbon c) Calcium d) None of These,C. Calcium
Which is the largest freshwater lake in the world?,Lake Baikal
What is the full form of MBBS?,Bachelor of Medicine and Bachelor of Surgery
Who is the founder of Buddhism?,Siddhartha Gautama
What is the capital of Italy?,Rome
When is UN day celebrated?,Oct-24
Who is the fastest man in the world?,Usain Bolt
In which year was the Battle of Plassey fought?,1757
At which age Gautham Buddha got Nirvana?,35
Who is known as the father of history?,Herodotus
What was the ancient name of Patna?,Pataliputra
What is the square root of 144?,12
Who gave the slogan “Do or Die”?,Mahatma Gandhi
Why are the leaves green in color?,Due to the presence of Chlorophyll
Name the acid that is secreted in the stomach?,Hydrochloric acid
Which is the highest civilian award of the Republic of India?,The Bharat Ratna Award
WWW stands for?,World Wide Web
World Environment Day is celebrated on _.,Jun-05
Plants that develop in dry conditions are,Xerophytes
Where is ‘Great Bear Lake’ found in the world?,Canada 
What is the full form of Wifi?,Wireless Fidelity
Who is the writer of ‘Panchathantra’?,Vishnu Sharma
Who is the 14th President of India?,Ram Nath Govind
Which is the biggest bone in the human body?,Femur
Who was the inventor of the light bulb?,Thomas Alwa Edison
Opium is obtained from the dry latex from which part of the Papaver somniferum Plant?,Poppy
Which Vitamin helps to heal the wound,Vitamin C
Which is the mineral found in teeth and limestones?,Calcium
Who was at the helm of the Philadelphia Phillies in the 2011 season?,Charlie Manuel
Which is the largest lake in Japan?,Biwa
What is the weight of a cricket ball?,5.75 ounces
Which is the only even prime number?,2
Who invented the number zero?,Aryabhatta
How many degrees are there in a circle?,360
What is the shape of dice?,Cube
How many decimal points are there in a number?,One
How many seconds are there in an hour?,3600
A triangle with all side equal is called_?,Equilateral triangle
Which is the first odd composite number?,33
What is a polygon with five sides called?,Pentagon
How many years is a decade?,Ten
A raindrop is of which geometric shape?,Sphere
What is the approximate value of pi?,3.14
90 minutes amount to ___ hours?,1.5
What is the value of Golden Ratio?,1.618
What is a triangle with all three sides of different lengths called?,Scalene triangle
Which polygon has opposite sides and angles equal?,Parallelogram
Which number is neither prime nor composite?,1
A polygon with all four sides and angles equal is called___?,Square
How many seconds are there in a day?,86400
How many sides does the base of a pyramid have?,4
Fourth Buddhist council held during the reign of which emperor?,Kanishka
In which year did Mahatma Gandhi start Dandi March?,1930
Who is the founder of Chola Dynasty?,Vijayalaya
Which was the first animal to go to space?,Dog
Zawar mines are located in which Indian state?,Rajasthan
Which country is the first in Asia to launch a plastics pact?,India
What is the capital of Finland?,Helsinki
Ozone layer is in which layer of the atmosphere?,Stratosphere
What is the capital of Morocco?,Mozambique
Which is the longest river in the world?,Nile
Mount Aconcagua is located in which mountain ranges?,Andes
Which Indian state was the first to introduce the “Oak Tussar Industry”?,Manipur
National Research Centre on Yak (NRCY) is located in which Indian state?,"Arunachal Pradesh
"
Which is the largest river on Earth?,"Amazon river
"
Which is the most spoken language in the world?,Mandarin Chinese
Which is the highest mountain peak of India?,Kanchenjunga
Who was the first president of the USA?,George Washington
How many fundamental rights are mentioned in the Indian Constitution?,6
Who is popularly known as the Napolean of India?,Samudragupta
Who was known as Punjab Kesari?,Lala Lajpat Rai
When is World Health Day observed?,Apr-07
What was the theme of World Health Day 2022?,"Our Planet, Our Health"
October,"Our Planet, Our Health"
Which planet is known as the Morning/Evening star?,Venus
Which continent invests the most in solar power?,Asia
Who won the 2022 International Women of Courage Award?,Rizwana Hassan
What is the theme for World Wildlife Day 2022?,Recovering key species for ecosystem restoration
What is the name of ISRO’s new humanoid robot that will go to space next?,Vyommitra
Which country is known as the Pearl of the Orient Seas?,"Philippines
"
Who is known as the father of Indian nuclear program?,Homi J Bhabha
Who invented radio?,Guglielmo Marconi
Which is the longest river in Europe?,Volga River
Which was the first metal used by Harappan civilization?,Copper
Thomas Cup is related to which sport?,"Badminton
"
How many players are there in an ice hockey team?,Six
Ryder Cup is related to which sport?,Golf
Which country invented paper?,China
Who has been reappointed as the President of the World Health Organization (WHO)?,Tedros Ghebreyesus
Which day is observed as International Literacy Day?,Sep-08
Who was known as the Missile Man of India?,Dr. APJ Abdul Kalam
Name the marine animal known as “sea cow”?,Manatees
Which is the protein found in nails?,Keratin
Which instrument is used to measure blood pressure?,Sphygmomanometer
Which mineral is found in teeth?,"Calcium
"
Which acid is secreted in the stomach?,Hydrochloric acid
Who is known as the “father of vaccination”?,Edward Jenner
Which is the slowest moving animal on Earth?,The three-toed sloth
Which only metal in liquid form at room temperature?,Mercury
Which is known as the Father of modern medicine?,Hippocrates
Which scientist developed the Theory of Relativity?,Albert Einstein
The air we breathe is majorly composed of which gas?,Nitrogen
What is the chemical name of Vitamin C?,Ascorbic acid
Plaster of Paris is made of ____?,Gypsum
Hematite is the ore of which metal?,Iron
Who discovered Penicillin?,Alexander Fleming
Which planet has the biggest known volcano in our solar system?,Mars
Who invented telephone?,Alexander Graham Bell
World Homoeopathy Day is observed on ______,Apr-10
What is the square of 42?,1764
Baku is the capital of which country?,Azerbaijan
Name the currency used in Japan?,Yen
"Which lake is situated in the border of countries, Peru and Bolivia?",Lake Titicaca
The distance travelled by light in one year is called _______,Light Year
When is World Hearing Day?,Mar-23
What is the theme of World Hearing Day 2022?,"To hear for life, listen with care!"
________________ is known as “antisterility vitamin”?,Vitamin E
Name a non-metal that conducts electricity?,Graphite
Birth anniversary of Sardar Vallabhbhai Patel is observed as?,National Unity Day (Rashtriya Ekta Divas)
Who discovered X-Rays?,Wilhelm Conrad Roentgen
Name the main gases present in the Sun?,Hydrogen and Helium
Name the capital of Kingdom of Bahrain?,Manama
What is the theme of World Meteorological Day 2022?,Early Warning and Early Action
What is the capital of Norway?,Oslo
Name the compound necessary for photosynthesis in leaves?,Chlorophyll
What are the tiny pores present in plant leaves called?,Stomata
Who invented electricity?,Benjamin Franklin
Name the continent known as “Dark Continent”?,Africa
______ is the hardest substance available on Earth.,Diamond
Name the instrument used to measure atmospheric pressure,Barometer
Who was the first woman to go to space?,Valentina Tereshkova
Which bird is known for its intelligence?,Owl
Which is the gas absorbed by plants?,Carbon Dioxide
What is the capital of Denmark?,Copenhagen
Olympic Games of which year were cancelled due to World War I?,1916
How many players are there in a Kho Kho team?,9
Who was the first President of the United States?,George Washington
Name the continent with the highest population density?,Asia
Beriberi disease is caused by the deficiency of _________,Vitamin B
Scientific study of birds is called _______,Ornithology
Name the organ responsible for blood purification in human body,Kidney
What is the name of the process where excess water in plants gets released?,Transpiration
What is the main source of energy produced through photosynthesis in plants?,Glucose
The measure of moisture in the air is known as _________,Humidity
A decagon has _______ sides.,10
3 raised to power 0 is ________.,1
Which is the smallest three-digit number?,1000
Which is the largest three-digit number?,999
What is the cube root of 27?,3
What is another name for Northern Lights?,Aurora Boralis
There are a total of _____ time zones in the world.,24
What is the full form of GPS?,Global Positioning System
Which famous explorer discovered Cuba?,Christopher Columbus
Which is the hardest substance on the human body?,Tooth enamel
Where is the headquarters of UNESCO located?,"Paris, France"
Which planet is known as Earth’s Twin?,Venus
Which is the loudest animal on Earth?,Sperm whale
Which blood group is known as “universal donor”?,O+
_____ is a flying mammal.,Bat
Which animal has fingerprints similar to that of humans?,Koala
What is the colour of polar bear’s skin?,Black
Which protein is a fingernail made of?,Keratin
Which bird can fly backward?,Humming bird
Who was the first woman to win a Nobel Prize?,Marie Curie (in the year 1903)
_____ is the warmest sea on Earth.,Read Sea
Which is the fastest snake in the world?,Black Mamba
Which is the largest organ in the human body?,Skin
Which is the largest lake in Japan?,Biwa
Name the vitamin that helps to heal wounds?,Vitamin C
Equilateral polygons have all ______ equal.,Sides
Which country does famous footballer Lionel Messi belong to?,Argentina
The atomic number of Iron (Fe) is _____.,26
What is the capital of United Arab Emirates (UAE)?,Abu Dhabi
Golfer Vijay Singh belongs to which country?,Fiji
Which blood cells do not have a nucleus?,Blood platelets
Who authored the renowned novel “The Godfather”?,Mario Puzo
RAM is located in which part of the computer?,Mother board
Who was nicknamed the “Little Corporal”?,Napolean Bonaparte
The ceiling of Sistine Chapel has frescos painted by which famous painter?,Michelangelo
What was the court language used by Mughals?,Persian
Orange Prize is related to the field of ____________.,Literature
When did World War II start?,1939
Vienna is the capital of which country?,Austria
Who discovered Protons?,Rutherford
What does ‘Xylem’ in plants do?,Transport water
Which is the ‘class’ of Octopus?,Cephalopod
What does Big Bang Theory explain?,Origin of Universe
Who is the author of ‘Origin of Species’?,Charles Darwin
What kind of mosquito carries malaria?,Anopheles Mosquitoes
Name the smallest Ocean.,Arctic Ocean
Which day is celebrated as World Consumer Rights Day?,Mar-15
What is Light year?,It is the unit of distance
Which is the sacred book of Buddhists?,Tripitakas
Cataract is the disease of _.,Eye
What is the SI unit of Force?,Newton
Who is the author of ‘Wings of Fire’?,A.P.J. Abdul Kalam
Who is the father of Economics?,Adam Smith
What is the common name of Sodium Carbonate?,Washing Soda
What is Phycology?,Study of Algae
Which is the first Asian country to orbit Mars?,India
Which country is the largest producer of Coffee?,Brazil
The terms’ Bull and Bear’ is associated with __________.,Stock Market
Where are the HeadQuarters of UNESCO?,"Paris, France"
Which are the colors of the rings of the Olympic flag?,"Black, Red, Blue, Green, and Yellow"
Who invented ‘Lift’?,Elisha Graves Otis
Which river crosses the equator twice?,Congo River
Which is the device used to locate submerged objects under sea?,SONAR
